id,room,gpa
1,1,2.78
2,1,3.29
3,1,3.32
4,1,2.83
5,2,2.98
6,2,2.63
7,2,3.2
8,2,2.49
9,3,2.6
10,3,1.75
11,3,1.94
12,3,3.12
13,4,2.51
14,4,3.16
15,4,2.81
16,4,3.44
17,5,2.42
18,5,2.4
19,5,3.52
20,5,3.24
21,6,3.5
22,6,2.85
23,6,3.08
24,6,3.39
25,7,2.55
26,7,2.73
27,7,3.17
28,7,3.45
29,8,3.15
30,8,3.02
31,8,3.23
32,8,3.65
33,9,2.15
34,9,3.37
35,9,2.89
36,9,2.66
37,10,3.07
38,10,3.2
39,10,2.79
40,10,2.79
41,11,2.96
42,11,3.6
43,11,3.13
44,11,3.39
45,12,3.26
46,12,3.29
47,12,3.84
48,12,2.66
49,13,2.42
50,13,1.87
51,13,2.79
52,13,2.85
53,14,2.27
54,14,2.57
55,14,2.92
56,14,2.31
57,15,3.89
58,15,3.3
59,15,3.18
60,15,2.36
61,16,3.92
62,16,2.75
63,16,3.47
64,16,3.77
65,17,2.82
66,17,3.12
67,17,3.18
68,17,3.41
69,18,2.67
70,18,1.96
71,18,1.93
72,18,2.5
73,19,2.87
74,19,2.98
75,19,2.58
76,19,2.65
77,20,2.45
78,20,2.33
79,20,2.3
80,20,3.57
81,21,2.49
82,21,3.4
83,21,2.8
84,21,3.33
85,22,3.48
86,22,3.59
87,22,3.4
88,22,3.54
89,23,3.13
90,23,2.52
91,23,3.21
92,23,2.64
93,24,3.43
94,24,3.16
95,24,2.93
96,24,2.29
97,25,3.03
98,25,3.15
99,25,3.48
100,25,3.1
101,26,2.74
102,26,1.69
103,26,1.89
104,26,2.68
105,27,3.35
106,27,2.78
107,27,3.85
108,27,3.36
109,28,2.34
110,28,2.47
111,28,2.69
112,28,2.38
113,29,2.15
114,29,2.73
115,29,1.98
116,29,2.71
117,30,2.05
118,30,1.85
119,30,2.03
120,30,2.28
121,31,3.26
122,31,3.53
123,31,3
124,31,3.3
125,32,3
126,32,3.62
127,32,2.89
128,32,2.44
129,33,3.18
130,33,3.07
131,33,2.69
132,33,2.74
133,34,1.82
134,34,2.43
135,34,2.84
136,34,2.77
137,35,2.74
138,35,2.15
139,35,1.45
140,35,2.14
141,36,3.38
142,36,2.74
143,36,2.57
144,36,3.69
145,37,2.89
146,37,2.27
147,37,2.05
148,37,2.5
149,38,3.32
150,38,2.84
151,38,2.89
152,38,2.67
153,39,2.47
154,39,2.82
155,39,2.24
156,39,3.05
157,40,2.85
158,40,3.17
159,40,3.27
160,40,2.98
161,41,2.04
162,41,2.45
163,41,2.96
164,41,1.91
165,42,2.4
166,42,3.04
167,42,2.75
168,42,2.44
169,43,2.85
170,43,2.84
171,43,2.42
172,43,2.41
173,44,3.06
174,44,2.75
175,44,1.79
176,44,2.57
177,45,3.42
178,45,2.57
179,45,3.03
180,45,3.57
181,46,2.53
182,46,2.7
183,46,2.63
184,46,3.32
185,47,3.06
186,47,2.64
187,47,2.39
188,47,1.85
189,48,2.99
190,48,2.08
191,48,3.1
192,48,3.69
193,49,3.3
194,49,2.94
195,49,2.83
196,49,2.95
197,50,2.49
198,50,2.45
199,50,2.33
200,50,1.87
201,51,3.22
202,51,2.02
203,51,2.04
204,51,2.83
205,52,2.7
206,52,2.8
207,52,1.97
208,52,2.69
209,53,2.9
210,53,2.4
211,53,2.55
212,53,2.34
213,54,2.16
214,54,1.84
215,54,2.35
216,54,2.49
217,55,2.81
218,55,2.89
219,55,2.27
220,55,2.59
221,56,3.48
222,56,3.08
223,56,3.34
224,56,3.55
225,57,3.36
226,57,2.81
227,57,3.18
228,57,2.99
229,58,2.58
230,58,2.45
231,58,2.6
232,58,2.66
233,59,2.94
234,59,2.77
235,59,2.74
236,59,2.59
237,60,1.84
238,60,3.25
239,60,3
240,60,2.77
241,61,3.1
242,61,2.63
243,61,2.75
244,61,2.23
245,62,2.66
246,62,2.98
247,62,3.02
248,62,3.51
249,63,3.04
250,63,2.05
251,63,2.15
252,63,1.96
253,64,2.49
254,64,2.6
255,64,3.77
256,64,2.93
257,65,2.82
258,65,2.46
259,65,3.04
260,65,3.14
261,66,3.14
262,66,2.65
263,66,3.6
264,66,2.93
265,67,3.17
266,67,2.91
267,67,3.08
268,67,2.43
269,68,1.92
270,68,2.4
271,68,2.27
272,68,2.58
273,69,1.81
274,69,2.55
275,69,1.78
276,69,2.46
277,70,2.63
278,70,2.9
279,70,3.11
280,70,2.88
281,71,3.32
282,71,3.18
283,71,2.81
284,71,2.67
285,72,2.71
286,72,2.76
287,72,3.49
288,72,3.7
289,73,3.06
290,73,2.3
291,73,2.92
292,73,3.19
293,74,2.96
294,74,2.67
295,74,2.67
296,74,2.57
297,75,2.94
298,75,4
299,75,3.49
300,75,3.97
301,76,2.51
302,76,3.03
303,76,2.78
304,76,1.97
305,77,3
306,77,2.72
307,77,2.75
308,77,2.99
309,78,3.19
310,78,2.97
311,78,2.15
312,78,2.33
313,79,2.72
314,79,3.78
315,79,3.25
316,79,3.25
317,80,3.73
318,80,3.69
319,80,3.48
320,80,4
321,81,3.18
322,81,3.05
323,81,2.38
324,81,3.63
325,82,2.18
326,82,2.72
327,82,3.53
328,82,3.2
329,83,2.49
330,83,2.65
331,83,2.83
332,83,3.51
333,84,3.04
334,84,4
335,84,2.97
336,84,3.29
337,85,1.88
338,85,3.33
339,85,2.45
340,85,2.37
341,86,3.85
342,86,3.59
343,86,3.4
344,86,3.23
345,87,2.13
346,87,2.6
347,87,2.4
348,87,2.23
349,88,2.46
350,88,2.77
351,88,3.09
352,88,2.64
353,89,3.24
354,89,3.01
355,89,2.74
356,89,2.7
357,90,3.73
358,90,3.37
359,90,3.95
360,90,3.3
361,91,3.09
362,91,2.99
363,91,3.02
364,91,3.19
365,92,2.78
366,92,2.33
367,92,2.43
368,92,3.24
369,93,3.09
370,93,3.58
371,93,2.71
372,93,3.9
373,94,2.1
374,94,3.16
375,94,3.16
376,94,3.27
377,95,1.97
378,95,2.57
379,95,2.02
380,95,2.8
381,96,2.88
382,96,2.99
383,96,2.81
384,96,2.6
385,97,3
386,97,2.37
387,97,2.38
388,97,3.24
389,98,2.93
390,98,2.74
391,98,2.77
392,98,3.23
393,99,2.24
394,99,1.84
395,99,2.27
396,99,2.24
397,100,3.24
398,100,3.61
399,100,3.28
400,100,2.78
